gvkey,tic,act,at,capx,che,cogs,ib,pi,revt,txc,txdb,txdc,txdi,txt,state,Total Income Taxes as % of pretax income,Total Income Deferred Taxes as % of pretax income,Total Income Deferred Taxes as % of total assets,ticker,co_per_rol,pceo,bonus,opt_exer_val,opt_unex_unexer_est_val,othcomp,salary,stock_awards,stock_unvest_val,tdc1,tdc2,total_sec,Stock as % of total compensation,Options as % of total compensation
2818,CATO,277.673,553.14,19.433,132.444,509.664,0.029,1.77,759.26,1.355,0.0,0.386,0.386,1.741,North Carolina,0.9836158192090396,0.21807909604519773,0.000697834183027805,CATO,5773,CEO,0.0,0.0,0.0,337.58,1416.816,1190.909,3447.547,2945.305,2945.305,2945.305,0.4043414858563036,0.0
2820,CVCO,804.579,1307.975,44.106,298.133,1570.878,240.554,306.763,2142.713,63.949,7.581,2.11,1.973,65.922,Arizona,0.21489553824939775,0.006878274107372793,0.0016131806800588695,CVCO,64407,CEO,0.0,651.56,0.0,4.578,950.0,2802.5,3593.135,4510.808,5162.368,4510.808,0.621285587859204,0.14444418826959604
2884,LUMN,4775.0,34018.0,3100.0,2238.0,7144.0,-10298.0,-10237.0,14557.0,1.0,3127.0,8.0,60.0,61.0,Louisiana,-0.005958776985444955,-0.0007814789489108137,0.00023516961608560175,LUMN,69048,CEO,0.0,0.0,0.0,180.834,1200.0,6215.329,2671.533,7873.984,7873.984,9592.963,0.7893499656590615,0.0
2960,CHE,500.843,1668.095,56.854,263.958,1444.802,272.509,350.367,2264.417,85.885,30.321,-8.027,-8.027,77.858,Ohio,0.22221841668878634,-0.022910262667431576,-0.004812076050824443,CHE,5797,CEO,0.0,7097.576,0.0,1312.65,1604.0,2511.638,0.0,7039.941,14137.517,12625.106,0.3567697513374047,1.0081868583841824
2986,CPK,185.699,3304.704,188.618,4.904,443.945,87.212,115.29,670.604,20.232,259.082,3.413,7.846,28.078,Delaware,0.24354237141122384,0.02960360829213288,0.0010327702571849096,CPK,64690,CEO,150.0,0.0,0.0,36.119,778.68,1664.792,0.0,3269.505,3269.505,3269.505,0.5091877822483831,0.0
2991,CVX,41128.0,261632.0,15829.0,8498.0,148303.0,21369.0,29584.0,196913.0,7851.0,18830.0,298.0,322.0,8173.0,California,0.2762641968631693,0.0100730124391563,0.0011390044031311154,CVX,43652,CEO,0.0,0.0,8307.876,436.45,1818.75,13669.951,27227.848,22787.247,18535.151,26489.856,0.5998948008067846,0.0
3007,EAT,183.3,2487.0,184.9,15.1,3633.1,102.6,90.8,4133.2,19.2,0.0,-30.9,-31.0,-11.8,Texas,-0.1299559471365639,-0.34030837004405284,-0.012424607961399275,EAT,68301,CEO,150.0,0.0,0.0,442.581,900.0,3809.892,1941.189,4009.149,4009.149,6295.047,0.9502994276341438,0.0
3026,CHD,1529.7,8569.2,223.5,344.5,3082.3,755.6,967.4,5867.9,225.6,743.1,-13.8,-13.8,211.8,New Jersey,0.21893735786644616,-0.014265040314244368,-0.0016104187088643047,CHD,32925,CEO,0.0,17987.088,9271.056,235.191,1183.975,1808.075,822.672,11182.166,23745.029,11182.166,0.1616927346633917,1.6085513307529151
3028,CHDN,400.8,6955.5,676.5,221.8,1497.0,417.3,561.8,2461.7,97.1,388.2,47.4,47.4,144.5,Kentucky,0.25720897116411534,0.08437166251334995,0.006814750916540867,CHDN,53499,CEO,0.0,0.0,0.0,21.689,1626.923,7051.043,44774.362,8560.755,8560.755,12211.634,0.823647330171229,0.0
3062,CTAS,2938.459,8546.356,331.109,124.149,4409.86,1348.01,1693.148,8815.769,318.207,498.356,23.233,26.931,345.138,Ohio,0.20384396402440896,0.013721777422883294,0.0027184685496368277,CTAS,62325,CEO,0.0,6303.159,102492.505,268.872,1076.4,5083.041,45257.887,8797.474,15100.633,8797.474,0.5777841457672964,0.7164737287089452
3105,IHRT,1506.916,6952.611,102.67,346.382,1494.234,-1102.66,-1162.677,3751.025,82.25,339.768,-144.588,-144.588,-62.338,Texas,0.0536159225649084,0.1243578397095668,-0.020796215982743747,IHRT,45089,CEO,0.0,0.0,0.0,309.948,1800.0,8000.0,4478.087,13924.693,13924.693,13924.693,0.574518949897136,0.0
3107,CLF,6636.0,17537.0,646.0,198.0,19627.0,398.0,597.0,21996.0,34.0,639.0,114.0,114.0,148.0,Ohio,0.24790619765494137,0.19095477386934673,0.0065005417118093175,CLF,50472,CEO,0.0,0.0,0.0,112.655,2116.0,11860.431,4682.714,19689.919,19689.919,26183.928,0.6023605785275196,0.0
3121,CLX,1828.0,5945.0,228.0,367.0,4278.0,149.0,238.0,7389.0,226.0,28.0,-149.0,-149.0,77.0,California,0.3235294117647059,-0.6260504201680672,-0.025063078216989068,CLX,60458,CEO,0.0,734.689,964.914,359.075,1168.269,5599.719,2845.861,11648.357,10983.065,11649.65,0.4807303725323666,0.06307232856959999
3138,COKE,1705.128,4288.942,282.304,635.269,3900.379,408.375,557.481,6653.858,198.127,128.435,-49.021,-49.021,149.106,North Carolina,0.2674638238791995,-0.08793304166420021,-0.01142962530153124,COKE,5807,CEO,4250.0,0.0,0.0,392.033,1319.941,0.0,0.0,18691.802,18691.802,19781.0,0.0,0.0
3144,KO,26732.0,97703.0,1852.0,13663.0,17394.0,10714.0,12952.0,45754.0,2251.0,2639.0,-2.0,-2.0,2249.0,Georgia,0.17364113650401483,-0.00015441630636195183,-2.0470200505613952e-05,KO,51984,CEO,0.0,8093.571,2354.823,625.056,1600.0,8299.55,26138.048,15522.076,16398.627,24742.908,0.5346932974687149,0.5214232297277761
3158,COHU,638.818,1150.352,16.053,335.698,319.028,28.156,45.816,636.322,22.434,23.154,-4.774,-4.774,17.66,California,0.38545486292998077,-0.10419940632093591,-0.004150034076526142,COHU,45096,CEO,0.0,0.0,0.0,24.164,708.846,5051.219,4233.176,6536.607,6536.607,6536.607,0.7727585580714887,0.0
3226,CMCSA,23987.0,264811.0,12379.0,6525.0,83922.0,15388.0,20478.0,121572.0,8110.0,26003.0,-2739.0,-2739.0,5371.0,Pennsylvania,0.26228147280007813,-0.13375329622033402,-0.010343225923394421,CMCSA,581,CEO,0.0,23331.0,15799.956,199.048,2500.0,15024.591,0.0,35473.666,49604.639,35473.666,0.4235421002159743,0.6576991506882881
3336,DXC,6124.0,15845.0,267.0,1858.0,11442.0,-568.0,-885.0,14430.0,290.0,168.0,-609.0,-609.0,-319.0,Virginia,0.36045197740112994,0.688135593220339,-0.03843483748816661,DXC,64610,CEO,0.0,0.0,0.0,302.984,1350.0,16575.4,845.982,15345.488,15345.488,19821.384,1.0801481191083662,0.0
