gvkey,tic,act,at,capx,che,cogs,ib,pi,revt,txc,txdb,txdc,txdi,txt,state,Total Income Taxes as % of pretax income,Total Income Deferred Taxes as % of pretax income,Total Income Deferred Taxes as % of total assets
3369,RAVE,6.834,14.237,0.065,5.328,3.956,1.613,2.15,11.889,0.107,0.0,0.43,0.43,0.537,Texas,0.24976744186046515,0.2,0.03020299220341364
3382,SSTK,292.573,1036.015,44.645,100.49,273.206,110.269,122.468,874.587,38.374,4.182,-26.176,-26.175,12.199,New York,0.09960969396087141,-0.213737466113597,-0.025266043445316907
3392,NU1,1418.684,15849.624,1093.121,10.213,3380.457,518.733,689.642,4578.804,-13.1,1860.122,184.037,184.009,170.909,Connecticut,0.2478227834151632,0.26685874700206774,0.01161144264368669
3413,ED,6537.0,66331.0,4353.0,1190.0,10301.0,2519.0,3003.0,14663.0,355.0,8043.0,132.0,132.0,487.0,New York,0.16217116217116218,0.04395604395604396,0.0019900197494384223
3424,BH,152.551,849.422,23.405,119.945,210.657,54.948,64.847,365.318,2.741,37.939,6.567,6.567,9.308,Texas,0.14353786605394236,0.10126914120930808,0.007731139527820094
3439,CMS,2839.0,33517.0,2407.0,248.0,5047.0,886.0,954.0,7462.0,6.0,2615.0,157.0,141.0,147.0,Michigan,0.1540880503144654,0.16457023060796647,0.004684190112480234
3504,COO,1704.9,11658.9,392.5,120.9,1025.1,294.2,419.2,3593.2,74.0,101.5,44.7,44.7,118.7,California,0.2831583969465649,0.10663167938931299,0.0038339809072897102
3532,GLW,7212.0,28500.0,1390.0,1779.0,7147.0,581.0,816.0,12588.0,243.0,218.0,-75.0,-75.0,168.0,New York,0.20588235294117646,-0.09191176470588236,-0.002631578947368421
3570,CBRL,282.287,2218.094,126.987,25.147,3030.41,99.05,103.611,3442.808,10.498,74.256,-5.937,-5.937,4.561,Tennessee,0.04402042254200809,-0.05730086573819382,-0.0026766223613606996
3580,CR,1090.8,2333.6,42.7,329.6,1242.1,203.8,267.0,2086.4,84.7,37.1,-21.5,-21.5,63.2,Connecticut,0.23670411985018727,-0.08052434456928839,-0.009213232773397327
3619,CCK,4833.0,15034.0,793.0,1400.0,9546.0,450.0,809.0,12010.0,31.0,338.0,-53.0,-53.0,222.0,Pennsylvania,0.27441285537700866,-0.06551297898640297,-0.003525342556871092
3622,CRWS,60.375,90.972,0.813,1.742,54.537,5.65,7.426,75.053,1.931,0.815,-0.205,-0.205,1.776,Louisiana,0.2391597091300835,-0.027605709668731482,-0.0022534406190915885
3647,CULP,95.516,152.183,2.108,22.368,216.719,-31.52,-28.39,234.934,3.132,5.954,-0.002,-0.002,3.13,North Carolina,-0.11025008805917576,7.044734061289187e-05,-1.3142072373392561e-05
3662,CW,1717.08,4620.969,44.666,406.867,1662.023,354.509,463.07,2845.373,108.518,132.319,2.908,0.043,108.561,North Carolina,0.23443755803658195,0.006279828103742414,0.0006293052387929891
3691,GTBP,14.056,14.109,0.0,13.972,0.0,-7.597,-7.597,0.0,0.0,0.0,0.0,0.0,0.0,California,-0.0,-0.0,0.0
3708,WEN,837.653,5182.826,85.021,551.885,807.271,204.44,279.418,2181.578,75.785,270.353,-0.807,-0.807,74.978,Ohio,0.2683363276524776,-0.0028881460750560094,-0.0001557065585454731
3761,DAIO,24.613,27.401,1.195,12.341,11.27,0.486,0.68,28.064,0.194,0.0,0.0,0.0,0.194,Washington,0.2852941176470588,0.0,0.0
3801,7183B,506.68,1281.06,87.322,32.029,1089.605,72.14,97.236,1693.481,23.921,0.0,1.175,1.175,25.096,Ohio,0.2580937101485047,0.012084001810029207,0.0009172091861427256
3806,DWSN,37.426,57.519,3.721,16.037,88.044,-12.147,-12.243,96.846,0.025,0.015,-0.121,-0.121,-0.096,Texas,0.0078412153883852,0.009883198562443844,-0.0021036527060623446
3813,TGT,17846.0,53335.0,5528.0,2229.0,81914.0,2780.0,3418.0,109120.0,56.0,2196.0,582.0,582.0,638.0,Minnesota,0.18665886483323582,0.1702750146284377,0.010912158995031404
3814,AES5,363.1,2906.2,387.9,41.1,679.8,35.7,42.3,861.0,-19.6,227.3,26.2,26.2,6.6,Ohio,0.15602836879432624,0.6193853427895981,0.00901520886380841
3851,DAL,10269.0,73644.0,5323.0,4067.0,44749.0,4609.0,5608.0,58048.0,19.0,908.0,980.0,980.0,999.0,Georgia,0.17813837375178318,0.17475035663338087,0.013307261962956929
