gvkey,datadate,tic,act,aedi,at,capx,che,cogs,ib,lct,lt,pi,revt,txach,txc,txdb,txdc,txdi,txt,state
2490,12/31/2023,BRK3,4777,,94577,3920,2148,13852,5087,5605,45314,6614,23876,,1428,15222,99,99,1527,TX
2497,12/31/2023,MTZ,3974.253,,9373.511,192.941,529.561,10605.962,-49.949,2837.219,6652.25,-82.704,11995.934,0,105.5,390.399,-140.863,-140.9,-35.408,FL
2504,12/31/2023,UIS,971,,1965.4,21.3,387.7,1370,-430.7,650.9,2103.8,-347.8,2015.4,,54.8,0.9,24.5,24.5,79.3,PA
2519,4/30/2023,BUKS,40.162,,113.906,6.51,21.997,41.303,4.516,25.377,67.125,6.527,75.182,-0.821,1.714,0,0.297,0.297,2.011,KS
2526,3/31/2023,CAE,2235,,10436.5,298.9,217.6,2735.1,222.7,2246.7,5847.6,296.3,4203.3,,,129.3,5,-10.4,64.4,QC
2536,3/31/2023,RAMP,714.559,,1172.703,4.696,509.365,149.297,-124.106,174.829,246.627,-118.854,596.583,0,5.137,0.298,0.115,0.115,5.252,CA
2547,12/31/2023,CI,37351,,152761,1573,8565,168872,5164,48716,106410,5513,195244,0,1800,7173,-1659,-1659,141,CT
2547,12/31/2023,CI,37351,,152761,,,,5164,48716,106410,5513,195231,,1800,7173,,-1659,141,CT
2558,12/31/2023,CNA,,,64711,90,3601,11557,1205,,54818,1518,13125,0,,0,2,2,313,IL
2558,12/31/2023,CNA,,0,64711,,,,1205,,54818,1518,13378,,311,0,,2,313,IL
2573,9/30/2023,CSPI,50.364,,65.904,0.226,25.217,42.369,5.204,15.659,19.756,4.735,64.647,0.965,1.877,0,-2.346,-2.346,-0.469,MA
2574,12/31/2023,CSX,3384,,42408,2281,1436,7622,3715,3224,30275,4891,14657,431,1036,7746,140,140,1176,FL
2577,12/31/2023,CTS,319.349,,741.167,14.738,163.876,330.282,60.532,97.039,214.345,75.153,550.422,,,14.729,-4.046,-0.99,14.621,IL
2578,12/31/2023,TLS,139.991,,208.699,0.926,99.26,87.366,-34.422,39.198,49.696,-34.386,145.378,0,-0.019,0.813,0.055,0.055,0.036,VA
2581,12/31/2023,CVV,22.841,,35.025,0.418,14.025,18.246,-4.18,8.554,8.822,-4.194,24.109,0,-0.014,0,0,0,-0.014,NY
2593,9/30/2023,CBT,1626,,3604,244,238,2962,445,822,2197,456,3931,-4,,50,-156,-156,-28,MA
2596,6/30/2023,CACI,1210.037,,6600.808,63.717,115.776,4402.728,384.735,993.971,3376.474,483.639,6702.546,,244.917,120.545,-146.013,-146.013,98.904,VA
2615,2/28/2023,CAMPQ,174.795,,380.12,11.1,41.928,169.512,-32.49,106.5,365.813,-31.339,294.949,0,0.475,0.242,0.676,0.676,1.151,CA
2628,12/31/2023,CWT,296.285,,4595.533,383.747,84.966,611.474,51.911,430.339,3165.221,44.595,794.632,,0.003,352.762,35.627,-6.784,-6.781,CA
2663,7/31/2023,CPB,2061,,12058,370,189,6076,858,2222,8395,1128,9357,,275,1067,-5,-5,270,NJ
2675,12/31/2023,MLFNF,1211.451,,4603.121,198.181,203.363,4145.16,-124.976,1032.412,3088.342,-142.625,4867.928,,,296.203,86.959,86.959,-17.649,ON
2696,12/31/2023,CNI,3089,,52666,3187,924,8414,5625,5035,32549,6488,16828,,,10066,-288,-288,863,QC
2698,12/31/2023,CP,3002,,79902,2499,464,6491,3927,5710,37491,-3053,12555,,,11052,-7885,-7885,-6976,AB
2703,12/31/2023,CDNAF,11293.1,,21978.3,580.9,488.4,10921.9,213.3,6389,15533.5,572.8,16656.5,,,182.1,154.7,154.7,233.7,ON
2710,2/28/2023,STZ,3496.1,,24662.3,1035.4,133.5,4296.6,-71,2968.3,15928.4,383.6,9452.6,,214.3,569.5,207.8,207.8,422.1,NY
2721,12/31/2023,CAJPY,15778.467,,38427.147,1633.888,2874.245,13999.911,1876.55,10210.033,12846.964,2772.242,29661.321,48.809,,289.826,-73.448,-73.448,754.457,
2735,12/31/2023,CPTP,,,8.947,0,0.652,0.796,2.351,,1.356,3.249,5.525,0,0.885,0.284,0.013,0.013,0.898,RI
2751,6/30/2023,CAH,33833,,43417,481,4043,197686,261,33706,46268,638,205012,,407,2096,-31,-31,376,OH
2771,12/31/2023,CSL,3408.1,,6620,142.2,576.7,2891.8,718.9,1186.3,3791,930.4,4586.9,,,244.3,-71.7,-28.2,211.5,AZ
2777,12/31/2023,ASWRF,1.323,,5.082,0.545,1.31,0.003,-0.711,0.05,0.05,-0.711,0,0,0,0,0,0,0,BC
2783,12/31/2023,DUK8,5435,,67094,4917,98,8334,1956,5548,44234,2333,13544,124,497,5197,-120,-120,377,NC
2787,6/30/2023,CRS,1281.9,,3053.9,82.3,44.5,2082,56.4,459.4,1657.8,72.5,2550.3,,16.5,170.3,-0.4,-0.4,16.1,PA
2807,4/30/2023,CASY,920.955,,5943.27,476.568,378.869,12022.069,446.691,927.125,3282.604,587.518,15094.475,0,117.701,543.598,23.126,23.126,140.827,IA
2817,12/31/2023,CAT,46949,,87476,3092,7941,41223,10335,34728,67973,13113,67060,0,3373,454,-592,-592,2781,TX
2818,1/31/2023,CATO,277.673,,553.14,19.433,132.444,509.664,0.029,202.957,326.547,1.77,759.26,-0.307,1.355,0,0.386,0.386,1.741,NC
2820,3/31/2023,CVCO,804.579,,1307.975,44.106,298.133,1570.878,240.554,293.391,330.47,306.763,2142.713,,63.949,7.581,2.11,1.973,65.922,AZ
2829,10/31/2023,RFIL,36.04,,82.278,2.483,4.897,50.198,-3.078,12.511,42.516,-4.25,72.168,-0.759,-0.495,0,-0.677,-0.677,-1.172,CA
2884,12/31/2023,LUMN,4775,,34018,3100,2238,7144,-10298,3534,33601,-10237,14557,-1185,1,3127,8,60,61,LA
2960,12/31/2023,CHE,500.843,,1668.095,56.854,263.958,1444.802,272.509,312.05,560.219,350.367,2264.417,,85.885,30.321,-8.027,-8.027,77.858,OH
2968,12/31/2023,JPM,,,3875393,,,,49552,,3547515,61612,236311,,,0,,,12060,NY
2968,12/31/2023,JPM,,,3875393,0,900303,90641,49552,,3547515,61612,236311,0,,0,-4534,,12060,NY
2986,12/31/2023,CPK,185.699,,3304.704,188.618,4.904,443.945,87.212,386.384,2058.6,115.29,670.604,,20.232,259.082,3.413,7.846,28.078,DE
2990,12/31/2023,IMNN,18.241,,21.918,0.452,15.696,0,-19.515,7.391,8.53,-20.795,0,0,0,0,0.287,-1.28,-1.28,NJ
2991,12/31/2023,CVX,41128,,261632,15829,8498,148303,21369,32258,99703,29584,196913,-2801,7851,18830,298,322,8173,CA
2999,12/31/2023,CVR,15.841,,27.831,1.078,3.158,30.832,-4.402,1.864,1.864,-5.729,31.508,0,-0.054,0,-1.273,-1.273,-1.327,IL
3007,6/30/2023,EAT,183.3,,2487,184.9,15.1,3633.1,102.6,535.9,2631.3,90.8,4133.2,,19.2,0,-30.9,-31,-11.8,TX
